sessionStart,sessionEnd,durationHours
2025-03-14T14:56:47.732Z,2025-03-14T14:57:31.441Z,0.01
2025-03-14T14:57:31.441Z,2025-03-14T15:01:58.340Z,0.07
2025-03-14T15:01:58.340Z,2025-03-14T15:04:27.195Z,0.04
2025-03-14T15:04:27.195Z,2025-03-14T15:05:21.351Z,0.02
2025-03-14T15:05:21.351Z,2025-03-14T15:05:48.050Z,0.01
2025-03-14T15:05:48.050Z,2025-03-14T17:58:40.187Z,2.88
2025-03-14T17:58:40.187Z,2025-03-14T18:00:00.424Z,0.02
2025-03-14T18:00:00.424Z,2025-03-14T18:00:52.666Z,0.01
2025-03-14T18:00:52.666Z,2025-03-14T18:03:33.855Z,0.04
2025-03-14T18:03:33.855Z,2025-03-14T18:07:36.135Z,0.07
2025-03-14T18:07:36.135Z,2025-03-14T18:08:01.403Z,0.01
2025-03-14T18:08:01.403Z,2025-03-14T18:08:44.697Z,0.01
2025-03-14T18:08:44.697Z,2025-03-14T18:08:54.036Z,0.00
2025-03-14T18:08:54.036Z,2025-03-14T18:09:16.430Z,0.01
2025-03-14T18:09:16.430Z,2025-03-14T18:09:26.099Z,0.00
2025-03-14T18:09:26.099Z,2025-03-14T18:09:34.065Z,0.00
2025-03-14T18:09:34.065Z,2025-03-14T18:09:43.265Z,0.00
2025-03-14T18:09:43.265Z,2025-03-14T18:10:17.817Z,0.01
2025-03-14T18:10:17.817Z,2025-03-14T18:10:40.134Z,0.01
2025-03-14T18:10:40.134Z,2025-03-14T18:10:48.119Z,0.00
2025-03-14T18:10:48.119Z,2025-03-14T18:10:58.987Z,0.00
2025-03-14T18:10:58.987Z,2025-03-14T18:11:45.619Z,0.01
2025-03-14T18:11:45.619Z,2025-03-14T18:12:31.872Z,0.01
2025-03-14T18:12:31.872Z,2025-03-14T18:12:43.688Z,0.00
2025-03-14T18:12:43.688Z,2025-03-14T18:15:21.375Z,0.04
2025-03-14T18:15:21.375Z,2025-03-14T18:17:26.091Z,0.03
2025-03-14T18:17:26.091Z,2025-03-14T18:19:01.946Z,0.03
2025-03-14T18:19:01.946Z,2025-03-14T18:20:37.538Z,0.03
2025-03-14T18:20:37.538Z,2025-03-14T18:31:11.878Z,0.18
2025-03-14T18:31:11.878Z,2025-03-14T18:32:58.639Z,0.03
2025-03-14T18:32:58.639Z,2025-03-14T18:37:15.523Z,0.07
2025-03-14T18:37:15.523Z,2025-03-14T18:38:40.942Z,0.02
2025-03-14T18:38:40.942Z,2025-03-14T18:39:13.366Z,0.01
2025-03-14T18:39:13.366Z,2025-03-14T20:03:24.340Z,1.40
2025-03-14T20:03:24.340Z,2025-03-14T20:03:58.214Z,0.01
2025-03-14T20:03:58.214Z,2025-03-14T20:04:03.553Z,0.00
2025-03-14T20:04:03.553Z,2025-03-14T20:04:48.346Z,0.01
2025-03-14T20:04:48.346Z,2025-03-14T20:04:54.068Z,0.00
2025-03-14T20:04:54.068Z,2025-03-14T20:05:20.204Z,0.01
2025-03-14T20:05:20.204Z,2025-03-14T20:06:51.147Z,0.03
2025-03-14T20:06:51.147Z,2025-03-14T20:10:14.600Z,0.06
2025-03-14T20:10:14.600Z,2025-03-14T20:11:15.827Z,0.02
2025-03-14T20:11:15.827Z,2025-03-14T20:11:36.046Z,0.01
2025-03-14T20:11:36.046Z,2025-03-14T20:12:17.848Z,0.01
2025-03-14T20:12:17.848Z,2025-03-14T20:12:27.624Z,0.00
2025-03-14T20:12:27.624Z,2025-03-14T20:13:37.932Z,0.02
2025-03-14T20:13:37.932Z,2025-03-14T20:14:13.787Z,0.01
2025-03-14T20:14:13.787Z,2025-03-14T20:17:26.568Z,0.05
2025-03-14T20:17:26.568Z,2025-03-14T20:17:38.522Z,0.00
2025-03-14T20:17:38.522Z,2025-03-14T20:18:07.342Z,0.01
2025-03-14T20:18:07.342Z,2025-03-14T20:18:26.163Z,0.01
2025-03-14T20:18:26.163Z,2025-03-14T20:18:41.939Z,0.00
2025-03-14T20:18:41.939Z,2025-03-14T20:19:14.826Z,0.01
2025-03-14T20:19:14.826Z,2025-03-14T20:19:59.369Z,0.01
2025-03-14T20:19:59.369Z,2025-03-14T20:20:28.670Z,0.01
2025-03-14T20:20:28.670Z,2025-03-14T20:20:52.050Z,0.01
2025-03-14T20:20:52.050Z,2025-03-14T20:22:49.066Z,0.03
2025-03-14T20:22:49.066Z,2025-03-14T20:25:08.854Z,0.04
2025-03-14T20:25:08.854Z,2025-03-14T20:26:01.733Z,0.01
2025-03-14T20:26:01.733Z,2025-03-14T20:27:04.365Z,0.02
2025-03-14T20:27:04.365Z,2025-03-14T20:27:26.375Z,0.01
2025-03-14T20:27:26.375Z,2025-03-14T20:28:19.256Z,0.01
2025-03-14T20:28:19.256Z,2025-03-14T20:28:33.364Z,0.00
2025-03-14T20:28:33.364Z,2025-03-14T20:28:44.368Z,0.00
2025-03-14T20:28:44.368Z,2025-03-14T20:29:32.569Z,0.01
2025-03-14T20:29:32.569Z,2025-03-14T20:29:43.807Z,0.00
2025-03-14T20:29:43.807Z,2025-03-14T20:30:13.320Z,0.01
2025-03-14T20:30:13.320Z,2025-03-14T20:30:25.203Z,0.00
2025-03-14T20:30:25.203Z,2025-03-14T20:31:58.197Z,0.03
2025-03-14T20:31:58.197Z,2025-03-14T20:33:54.797Z,0.03
2025-03-14T20:33:54.797Z,2025-03-14T20:34:04.441Z,0.00
2025-03-14T20:34:04.441Z,2025-03-14T20:35:10.423Z,0.02
2025-03-14T20:35:10.423Z,2025-03-14T20:37:00.123Z,0.03
2025-03-14T20:37:00.123Z,2025-03-14T20:38:18.229Z,0.02
2025-03-14T20:38:18.229Z,2025-03-14T20:38:59.545Z,0.01
2025-03-14T20:38:59.545Z,2025-03-14T20:39:41.709Z,0.01
2025-03-14T20:39:41.709Z,2025-03-14T20:41:15.170Z,0.03
2025-03-14T20:41:15.170Z,2025-03-14T20:41:39.576Z,0.01
2025-03-14T20:41:39.576Z,2025-03-14T20:44:29.863Z,0.05
2025-03-14T20:44:29.863Z,2025-03-14T20:44:46.041Z,0.00
2025-03-14T20:44:46.041Z,2025-03-14T20:45:20.326Z,0.01
2025-03-14T20:45:20.326Z,2025-03-14T20:45:49.035Z,0.01
2025-03-14T20:45:49.035Z,2025-03-14T20:49:22.807Z,0.06
2025-03-14T20:49:22.807Z,2025-03-14T20:49:31.360Z,0.00
2025-03-14T20:49:31.360Z,2025-03-14T20:51:18.133Z,0.03
2025-03-14T20:51:18.133Z,2025-03-14T20:51:19.936Z,0.00
2025-03-14T20:51:19.936Z,2025-03-14T20:52:23.772Z,0.02
2025-03-14T20:52:23.772Z,2025-03-14T20:52:48.167Z,0.01
2025-03-14T20:52:48.167Z,2025-03-14T20:55:34.523Z,0.05
